ファイル名,生産日(年号),中心穴の有無(1:あり/0:なし),穴のズレ(1:ズレあり/0:正常),判定者
50yen_001.jpeg,不明,1,0,kohei(人間の感覚)
50yen_002.jpeg,不明,1,0,kohei(人間の感覚)
50yen_003.jpeg,不明,1,0,kohei(人間の感覚)
50yen_004.jpeg,不明,1,0,kohei(人間の感覚)
50yen_005.jpeg,不明,1,0,kohei(人間の感覚)
50yen_006.jpeg,不明,1,0,kohei(人間の感覚)
50yen_007.jpeg,不明,1,1,kohei(人間の感覚)
50yen_008.jpeg,不明,1,0,kohei(人間の感覚)
50yen_009.jpeg,不明,1,1,kohei(人間の感覚)
50yen_010.jpeg,不明,1,1,kohei(人間の感覚)
50yen_011.jpeg,不明,0,0,kohei(人間の感覚)
50yen_012.jpeg,不明,0,0,kohei(人間の感覚)
50yen_013.jpeg,不明,1,0,kohei(人間の感覚)
50yen_014.jpeg,不明,1,0,kohei(人間の感覚)
50yen_015_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_016_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_017_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_018_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_019_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_020_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_021_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_022_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_023_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_024_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_025_add.jpeg,不明,1,0,kohei(人間の感覚)
50yen_026_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_027_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_028_add.jpeg,不明,0,0,kohei(人間の感覚)
50yen_029_add.jpeg,不明,1,1,kohei(人間の感覚)
50yen_030_add.jpeg,不明,1,0,kohei(人間の感覚)
