ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,1,OK,1746,0,0,OK,0.0,OK
50yen_002.jpeg,1,1,OK,666,0,0,OK,6.0,OK
50yen_003.jpeg,1,1,OK,535,0,0,OK,0.0,OK
50yen_004.jpeg,1,1,OK,782,0,0,OK,0.0,OK
50yen_005.jpeg,1,0,NG,186,0,0,OK,0.0,NG
50yen_006.jpeg,1,1,OK,978,0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,921,1,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,1112,0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,600,0,1,NG,25.5,NG
50yen_010.jpeg,1,1,OK,531,1,0,NG,11.7,NG
50yen_011.jpeg,0,1,NG,325,0,0,OK,0.0,NG
50yen_012.jpeg,0,0,OK,157,0,0,OK,0.0,OK
50yen_013.jpeg,1,0,NG,47,0,0,OK,0.0,NG
50yen_014.jpeg,1,0,NG,39,0,0,OK,0.0,NG
