ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,穴面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_002.jpeg,1,1,OK,3367,0,0,OK,6.0,OK
50yen_003.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_004.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_005.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_006.jpeg,1,1,OK,6234,0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,2239,1,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,3581,0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,1800,0,1,NG,25.5,NG
50yen_010.jpeg,1,1,OK,4172,1,0,NG,11.7,NG
50yen_011.jpeg,0,0,OK,0,0,0,OK,0.0,OK
50yen_012.jpeg,0,1,NG,4822,0,0,OK,6.4,NG
50yen_013.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_014.jpeg,1,1,OK,5979,0,0,OK,0.0,OK
