ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,面積スコア,正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,1,OK,3422,0,0,OK,6.3,OK
50yen_002.jpeg,1,1,OK,2142,0,1,NG,11.0,NG
50yen_003.jpeg,1,1,OK,372,0,0,OK,5.4,OK
50yen_004.jpeg,1,1,OK,1285,0,0,OK,8.2,OK
50yen_005.jpeg,1,1,OK,2513,0,1,NG,14.8,NG
50yen_006.jpeg,1,1,OK,526,0,1,NG,21.4,NG
50yen_007.jpeg,1,1,OK,1903,1,1,OK,18.4,OK
50yen_008.jpeg,1,1,OK,924,0,1,NG,25.0,NG
50yen_009.jpeg,1,1,OK,3158,1,0,NG,9.1,NG
50yen_010.jpeg,1,0,NG,125,1,0,NG,0.0,NG
50yen_011.jpeg,0,0,OK,83,0,0,OK,0.0,OK
50yen_012.jpeg,0,0,OK,14,0,0,OK,0.0,OK
50yen_013.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_014.jpeg,1,0,NG,32,0,0,OK,0.0,NG
50yen_015_add.jpeg,1,1,OK,940,0,1,NG,13.3,NG
50yen_016_add.jpeg,1,1,OK,475,0,1,NG,20.6,NG
50yen_017_add.jpeg,1,0,NG,0,0,0,OK,0.0,NG
50yen_018_add.jpeg,1,0,NG,16,0,0,OK,0.0,NG
50yen_019_add.jpeg,1,0,NG,243,1,0,NG,0.0,NG
50yen_020_add.jpeg,1,1,OK,579,1,0,NG,5.8,NG
50yen_021_add.jpeg,1,0,NG,116,1,0,NG,0.0,NG
50yen_022_add.jpeg,1,0,NG,0,1,0,NG,0.0,NG
50yen_023_add.jpeg,1,1,OK,1191,0,0,OK,4.1,OK
50yen_024_add.jpeg,1,1,OK,2992,0,0,OK,2.2,OK
50yen_025_add.jpeg,1,0,NG,113,0,0,OK,0.0,NG
50yen_026_add.jpeg,1,1,OK,520,1,0,NG,8.5,NG
50yen_027_add.jpeg,1,1,OK,2031,1,0,NG,10.0,NG
50yen_028_add.jpeg,0,1,NG,317,0,1,OK,30.1,NG
50yen_029_add.jpeg,1,1,OK,2513,1,1,OK,14.8,OK
50yen_030_add.jpeg,1,1,OK,455,0,1,NG,19.7,NG
