ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部面積(px),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),総合判定
50yen_001.jpeg,1,1,OK,1919,0.0,0,OK,0.0,OK
50yen_002.jpeg,1,1,OK,967,0.0,0,OK,6.0,OK
50yen_003.jpeg,1,1,OK,998,0.0,0,OK,0.0,OK
50yen_004.jpeg,1,1,OK,1003,0.0,0,OK,0.0,OK
50yen_005.jpeg,1,1,OK,403,0.0,0,OK,0.0,OK
50yen_006.jpeg,1,1,OK,1103,0.0,0,OK,0.0,OK
50yen_007.jpeg,1,1,OK,991,1.0,1,OK,20.5,OK
50yen_008.jpeg,1,1,OK,1319,0.0,1,NG,15.1,NG
50yen_009.jpeg,1,1,OK,722,0.5,1,NG,25.5,NG
50yen_010.jpeg,1,1,OK,875,1.0,0,NG,11.7,NG
50yen_011.jpeg,0,1,NG,457,0.0,0,OK,0.0,NG
50yen_012.jpeg,0,1,NG,412,0.0,0,OK,6.4,NG
50yen_013.jpeg,1,0,NG,121,0.0,0,OK,0.0,NG
50yen_014.jpeg,1,0,NG,60,0.0,0,OK,0.0,NG
50yen_015_add.jpeg,1,1,OK,440,0.0,0,OK,0.0,OK
50yen_016_add.jpeg,1,1,OK,685,0.0,0,OK,0.0,OK
50yen_017_add.jpeg,1,0,NG,122,0.0,0,OK,0.0,NG
50yen_018_add.jpeg,1,1,OK,919,0.0,0,OK,0.0,OK
50yen_019_add.jpeg,1,1,OK,482,1.0,0,NG,0.0,NG
50yen_020_add.jpeg,1,1,OK,728,0.5,0,NG,0.0,NG
50yen_021_add.jpeg,1,0,NG,134,1.0,0,NG,0.0,NG
50yen_022_add.jpeg,1,0,NG,185,1.0,0,NG,0.0,NG
50yen_023_add.jpeg,1,1,OK,382,0.0,0,OK,0.0,OK
50yen_024_add.jpeg,1,1,OK,1993,0.0,0,OK,2.2,OK
50yen_025_add.jpeg,1,0,NG,1,0.0,0,OK,0.0,NG
50yen_026_add.jpeg,1,1,OK,526,1.0,0,NG,0.0,NG
50yen_027_add.jpeg,1,1,OK,367,1.0,1,OK,32.0,OK
50yen_028_add.jpeg,0,0,OK,13,0.0,0,OK,0.0,OK
50yen_029_add.jpeg,1,1,OK,403,0.5,0,NG,0.0,NG
50yen_030_add.jpeg,1,1,OK,552,0.0,0,OK,2.8,OK
