ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),ズレ比率,コイン半径(px),穴半径(px),総合判定
50yen_001.jpeg,1,1,OK,0,0,OK,3.0,0.0195,154,41,OK
50yen_002.jpeg,1,0,NG,0,0,OK,0.0,0.0,131,0,NG
50yen_003.jpeg,1,0,NG,0,0,OK,0.0,0.0,169,0,NG
50yen_004.jpeg,1,0,NG,0,0,OK,0.0,0.0,91,0,NG
50yen_005.jpeg,1,0,NG,0,0,OK,0.0,0.0,210,0,NG
50yen_006.jpeg,1,1,OK,0,1,NG,38.0,0.3425,111,70,NG
50yen_007.jpeg,1,1,OK,1,1,OK,37.2,0.2797,133,56,OK
50yen_008.jpeg,1,0,NG,0,0,OK,0.0,0.0,183,0,NG
50yen_009.jpeg,1,0,NG,0,0,OK,0.0,0.0,164,0,NG
50yen_010.jpeg,1,0,NG,1,0,NG,0.0,0.0,215,0,NG
50yen_011.jpeg,0,0,OK,0,0,OK,0.0,0.0,126,0,OK
50yen_012.jpeg,0,1,NG,0,1,OK,85.6,0.6584,130,9,NG
50yen_013.jpeg,1,1,OK,0,1,NG,5.1,0.0689,74,23,NG
50yen_014.jpeg,1,0,NG,0,0,OK,0.0,0.0,168,0,NG
50yen_015_add.jpeg,1,1,OK,0,1,NG,34.0,0.2765,123,81,NG
50yen_016_add.jpeg,1,1,OK,0,0,OK,1.4,0.0123,115,96,OK
50yen_017_add.jpeg,1,1,OK,0,1,NG,26.7,0.5035,53,25,NG
50yen_018_add.jpeg,1,1,OK,0,1,NG,21.1,0.2175,97,64,NG
50yen_019_add.jpeg,1,1,OK,1,1,OK,17.0,0.1252,136,102,OK
50yen_020_add.jpeg,1,1,OK,0,1,NG,53.0,0.5761,92,11,NG
50yen_021_add.jpeg,1,1,OK,1,1,OK,34.9,0.2329,150,77,OK
50yen_022_add.jpeg,1,1,OK,1,1,OK,73.2,0.4407,166,43,OK
50yen_023_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,174,0,NG
50yen_024_add.jpeg,1,1,OK,0,1,NG,36.0,0.3244,111,71,NG
50yen_025_add.jpeg,1,1,OK,0,0,OK,7.6,0.047,162,37,OK
50yen_026_add.jpeg,1,1,OK,1,1,OK,104.6,0.5907,177,22,OK
50yen_027_add.jpeg,1,1,OK,1,1,OK,53.0,0.3816,139,86,OK
50yen_028_add.jpeg,0,1,NG,0,1,OK,79.0,0.3675,215,137,NG
50yen_029_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,210,0,NG
50yen_030_add.jpeg,1,0,NG,0,0,OK,0.0,0.0,126,0,NG
