epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9772,1.77086,3.77763,2.08617,0.00333,1,0.16844,0.0479,2.46141,4.47147,2.65002,0.000444444,0.000444444,0.000444444
2,18.0215,2.4891,3.77876,2.47973,0.00333,1,0.16844,0.0479,2.46141,4.47147,2.65002,0.00108911,0.00108911,0.00108911
3,28.7913,2.11833,3.49046,2.11267,0.00333,1,0.16844,0.0479,2.46141,4.47147,2.65002,0.00170738,0.00170738,0.00170738
4,39.6875,2.56229,3.60327,2.47404,0.00333,1,0.16844,0.0479,2.46141,4.47147,2.65002,0.0018812,0.0018812,0.0018812
5,48.8241,1.90172,3.68753,2.0435,0.00333,1,0.01489,0.0061,2.25079,4.50778,2.16486,0.0018416,0.0018416,0.0018416
6,57.8247,2.13706,3.67596,2.03103,0.00333,1,0.01489,0.0061,2.25079,4.50778,2.16486,0.001802,0.001802,0.001802
7,66.8009,1.57076,3.1398,1.55107,0.00333,1,0.01489,0.0061,2.25079,4.50778,2.16486,0.0017624,0.0017624,0.0017624
8,76.287,1.78541,3.86682,1.64934,0.00333,1,0.01489,0.0061,2.25079,4.50778,2.16486,0.0017228,0.0017228,0.0017228
9,84.6192,1.74144,3.91008,1.65409,0.00333,1,0.01489,0.0061,2.25079,4.50778,2.16486,0.0016832,0.0016832,0.0016832
10,94.4177,1.81326,3.06698,1.63148,0.00111,0.33333,0.08375,0.01697,3.02797,4.78682,4.74211,0.0016436,0.0016436,0.0016436
11,102.496,1.96788,3.32864,1.81543,0.00111,0.33333,0.08375,0.01697,3.02797,4.78682,4.74211,0.001604,0.001604,0.001604
12,111.791,1.99473,2.92422,1.92245,0.00111,0.33333,0.08375,0.01697,3.02797,4.78682,4.74211,0.0015644,0.0015644,0.0015644
